competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,FW,FW,Florin Andone,SofaScore,0,6.2,0,0,0,2,0,2,1,2,0,21,6,1,0,0,0,0,2,10,3,3,12,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.928571429,0.13356534,0.670634921,0.173913043,0.867720291,0,0,1,0,61,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AML,Bogdan Stancu,Kicker,1,4.5,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AML,Bogdan Stancu,WhoScored,0,6.74,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AML,Bogdan Stancu,SofaScore,0,6.7,1,0,1,1,0,2,0,0,0,33,18,6,0,0,4,3,0,3,1,11,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0.385342719,0.710084034,0.260869565,0.812280629,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Vlad Chiriches,Kicker,1,3,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Vlad Chiriches,WhoScored,0,6.81,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DC,Vlad Chiriches,SofaScore,0,7.2,0,0,0,0,0,0,0,0,0,38,20,3,0,0,6,1,4,3,1,0,6,1,0,2,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.200383375,0.635338346,0.275362319,0.606905658,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DR,Cristian Sapunaru,Kicker,1,3,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DR,Cristian Sapunaru,WhoScored,0,6.59,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,DF,DR,Cristian Sapunaru,SofaScore,0,6.4,0,0,0,0,0,0,0,1,0,45,16,3,0,4,4,1,2,4,0,1,14,1,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.174007615,0.603571429,0.260869565,0.553696007,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AMR,Adrian Popa,Kicker,1,3.5,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AMR,Adrian Popa,WhoScored,0,5.85,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,AMR,Adrian Popa,SofaScore,0,6.1,0,0,0,0,0,0,0,2,0,24,7,4,0,3,2,0,4,5,0,1,10,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.928571429,0.128328695,0.635338346,0.144927536,0.52999203,0,0,1,0,82,90"
